Name,Cuisines,Area,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,cui_North_Indian,cui_Beverages,cui_Chinese,cui_Desserts,cui_Fast_Food,cui_Biryani,cui_South_Indian,cui_Street_Food,cui_Shake,cui_Mughlai,cui_Ice_Cream,cui_Bakery,cui_Pizza,cui_Burger,cui_Rolls,cui_Seafood,cui_Kebab,cui_Sandwich,cui_Momos,cui_Andhra,CuisineListStr
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian",Indiranagar,1,1,1,0,4.4,5683,3.8,1814,500,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Pizza|Pasta|Fast Food|Desserts|Beverages|Sandwich|North Indian
Paakashala,"South Indian, North Indian, Chinese, Juices, Beverages, Shake",Indiranagar,1,1,1,1,4.0,92,4.0,1375,400,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Juices|Beverages|Shake
M.M.A Kabab and Rolls,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",Old Madras Road,1,1,1,0,2.7,114,3.7,5348,500,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,North Indian|Mughlai|Chinese|Kebab|Rolls|Seafood|Arabian|Biryani
Ayodhya Vihar Pure Veg,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake",Jeevan Bhima Nagar,1,1,1,1,3.4,36,4.1,4607,450,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,North Indian|Chinese|South Indian|Beverages|Desserts|Juices|Ice Cream|Shake
Red Kitchen,"North Indian, Andhra, Chinese, Seafood, Mughlai, Biryani",Jeevan Bhima Nagar,1,1,1,0,3.1,114,3.4,7398,350,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,North Indian|Andhra|Chinese|Seafood|Mughlai|Biryani
Nandhana Palace,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",Indiranagar,1,1,1,0,4.3,1417,4.1,6051,800,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Biryani|Andhra|North Indian|Chinese|Mughlai|South Indian|Desserts|Beverages
A2B - Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese",Indiranagar,1,1,1,0,2.8,610,3.9,3851,800,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,South Indian|Fast Food|Street Food|Ice Cream|Beverages|North Indian|Chinese
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages",Jeevan Bhima Nagar,1,0,0,0,,0,4.2,10400,200,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|South Indian|Desserts|Beverages
Nandhini Deluxe,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages",Frazer Town,1,1,1,0,3.8,459,4.0,4988,700,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Andhra|Biryani|Chinese|North Indian|Mughlai|Desserts|Beverages
Kanti Sweets,"Mithai, Street Food, Desserts",Thippasandra,1,1,0,0,,0,4.1,1362,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mithai|Street Food|Desserts
Dindigul Thalappakatti,"Biryani, North Indian, South Indian, Chinese, Beverages",Indiranagar,1,1,1,0,4.2,722,3.8,5687,400,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|North Indian|South Indian|Chinese|Beverages
