Name,Cuisines,Area,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,cui_North_Indian,cui_Beverages,cui_Chinese,cui_Desserts,cui_Fast_Food,cui_Biryani,cui_South_Indian,cui_Street_Food,cui_Shake,cui_Mughlai,cui_Ice_Cream,cui_Bakery,cui_Pizza,cui_Burger,cui_Rolls,cui_Seafood,cui_Kebab,cui_Sandwich,cui_Momos,cui_Andhra,CuisineListStr
VV Biryanis,"Biryani, Andhra, Chettinad, Chinese, South Indian, Tamil, Beverages",BTM,1,0,0,0,,0,3.7,54,150,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Biryani|Andhra|Chettinad|Chinese|South Indian|Tamil|Beverages
Colombo Idli House,South Indian,HSR,1,0,0,0,,0,4.3,4390,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Maa Tea,"Cafe, Sandwich",Marathahalli,1,1,1,0,3.8,5,3.4,57,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cafe|Sandwich
Burger Man,"Burger, Fast Food, Sandwich",Yelahanka,1,1,1,0,3.5,0,3.3,192,300,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Burger|Fast Food|Sandwich
Budget Saapadu,"Biryani, South Indian",BTM,1,1,1,0,,1,3.2,28,250,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|South Indian
New Pizza Pie,Pizza,Marathahalli,1,0,0,0,,0,3.3,301,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza
SLV Food Corner,South Indian,Marathahalli,1,1,0,0,,0,4.0,148,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Gowthami 99 Varieties Dosa Camp,South Indian,Marathahalli,1,1,0,0,,0,4.0,39,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Delhi Dhaba 1996,"North Indian, Chinese",Brookefield,1,0,0,0,,0,3.7,80,250,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese
The Shawarma Man,"Lebanese, Fast Food, Beverages, Shake",Marathahalli,1,1,0,0,,0,3.8,205,100,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lebanese|Fast Food|Beverages|Shake
Biryani Destination,"Biryani, Chinese",Brookefield,1,1,0,0,,0,4.0,22,250,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Chinese
IFDS Dosa Corner,"South Indian, North Indian, Chinese",Kaggadasapura,1,1,0,0,,0,3.7,66,100,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese
Kheer Bahaar,Desserts,Kaggadasapura,1,1,1,1,,0,4.0,17,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desserts
Knight Bite,"American, Burger, Beverages, Shake",Marathahalli,1,0,0,0,,0,4.4,850,250,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,American|Burger|Beverages|Shake
Shawarma Hub,"Lebanese, Kebab, Beverages",Marathahalli,1,1,0,0,,0,3.7,219,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Lebanese|Kebab|Beverages
New Ghar Ka Khana,"North Indian, Seafood",Marathahalli,1,0,0,0,,0,3.1,35,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,North Indian|Seafood
Desi Pizza,Pizza,Marathahalli,1,1,0,0,,0,,1,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza
Sri Adiga Kitchen,South Indian,Whitefield,1,0,0,0,,0,,6,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Sri Hari Chennakesava Andhra Mess,"South Indian, Biryani, North Indian",Marathahalli,1,1,1,0,,0,,0,300,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|Biryani|North Indian
Chulha Chaupati Dhaba,"North Indian, Chinese",Brookefield,1,0,0,0,,0,3.1,13,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese
NYSF Burgers,"Burger, Desserts",Marathahalli,1,0,0,0,,0,,0,350,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Desserts
So Fresh,"North Indian, Fast Food, Bakery",Brookefield,1,1,1,0,,0,,0,300,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,North Indian|Fast Food|Bakery
Rolls On Fire,"Biryani, Kebab, Rolls",Marathahalli,1,1,0,0,,0,,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Biryani|Kebab|Rolls
Tandoori Duniya,"North Indian, Kebab",Brookefield,1,0,0,0,,0,3.6,27,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,North Indian|Kebab
Royal Spice Kitchen,"South Indian, Street Food, North Indian","Varthur Main Road, Whitefield",1,0,0,0,,0,3.5,46,100,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|Street Food|North Indian
Andhra Special,"Andhra, Biryani",Marathahalli,1,1,0,0,,0,,16,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Andhra|Biryani
S S Rao's Upahaar,South Indian,Marathahalli,1,1,0,0,,0,,5,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Mr Momo,"Chinese, Momos",Marathahalli,1,0,0,0,,0,4.3,385,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chinese|Momos
Canyin Kitchen,"South Indian, Mangalorean",Marathahalli,1,0,0,0,,0,,1,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|Mangalorean
Mr Chow,Chinese,Brookefield,1,0,0,0,,0,4.1,581,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
14 Districts,"Kerala, South Indian",Kadubeesanahalli,1,0,0,0,,0,4.3,62,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kerala|South Indian
Prajwal Chakh Le Chaat,"Street Food, Sandwich, Desserts, Beverages, Shake",Marathahalli,1,0,0,0,,0,,3,100,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Street Food|Sandwich|Desserts|Beverages|Shake
Desi Delights,"Fast Food, North Indian, Chinese",Marathahalli,1,0,0,0,,0,,0,150,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Food|North Indian|Chinese
Hokart - Tasty Samosa Center,Street Food,Kadubeesanahalli,1,0,0,0,,0,2.7,17,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Street Food
Burger Court,"Burger, Shake",Marathahalli,1,1,0,0,,0,,15,150,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Burger|Shake
Jitubhai Mutton Point,"North Indian, Chinese, Rolls, Fast Food",Marathahalli,1,1,1,0,,0,,3,400,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,North Indian|Chinese|Rolls|Fast Food
Crossway Biryani,"North Indian, Chinese, Biryani",Whitefield,1,1,0,0,,0,,0,200,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese|Biryani
At Hyderabadi Biryani,"Biryani, Chinese",Whitefield,1,0,0,0,,0,2.9,28,150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Chinese
Kolkata Roll,Fast Food,Kaggadasapura,1,0,0,0,,0,,1,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Hokart - Hari Om Samosa,Street Food,Kadubeesanahalli,1,0,0,0,,0,4.0,12,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Street Food
Pancakes By Knight Bite,Desserts,Marathahalli,1,0,0,0,,0,4.0,31,250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desserts
Thalassery Restaurant,"Kerala, North Indian, Chinese, Kebab, Desserts, Ice Cream, Beverages, Shake",HSR,1,1,0,0,,0,3.5,1267,150,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Kerala|North Indian|Chinese|Kebab|Desserts|Ice Cream|Beverages|Shake
The Parotta Combo,"South Indian, Desserts",HSR,1,0,0,0,,0,4.1,60,150,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|Desserts
Annapoorna Kitchen,South Indian,Brookefield,1,0,0,0,,0,4.2,142,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Tandoori Junction,"Biryani, North Indian, Chinese, Seafood",Marathahalli,1,1,1,0,3.9,205,3.7,10400,400,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Biryani|North Indian|Chinese|Seafood
LalChi,"North Indian, Fast Food, Asian",Whitefield,1,0,1,0,,0,4.0,40,600,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Fast Food|Asian
Khichdi Kahani,"North Indian, Desserts",Thippasandra,1,1,0,0,,0,2.7,60,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Desserts
Paratha Meal Co,"North Indian, Desserts",Marathahalli,1,0,0,0,,0,3.9,26,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Desserts
99 Caffe,"South Indian, North Indian, Chinese, Shake",Brookefield,1,1,0,0,,0,3.6,1179,100,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Shake
Food Nation,"North Indian, Momos, Chinese, Rolls",Kaggadasapura,1,0,1,0,,0,4.0,19,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,North Indian|Momos|Chinese|Rolls
Sichuan,"Chinese, Asian, Seafood, Momos",HSR,1,1,1,0,4.2,770,4.0,4696,800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Chinese|Asian|Seafood|Momos
Paratha Maharaj,North Indian,Thippasandra,1,1,0,0,,0,3.4,22,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian
Badtameez Paratha,North Indian,Kaggadasapura,1,1,0,0,,0,4.3,140,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian
Mid-Night Crunch,"North Indian, Chinese, Rolls, Street Food, Fast Food",Hosur Road,1,1,0,0,,0,3.8,15100,150,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,North Indian|Chinese|Rolls|Street Food|Fast Food
Brahmin Home Food,South Indian,Indiranagar,1,1,0,1,,0,4.1,127,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Taza Khaana,"Chinese, North Indian, Rolls, Street Food, Fast Food",Hosur Road,1,0,0,0,,0,3.8,4213,150,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Chinese|North Indian|Rolls|Street Food|Fast Food
The Aroma Fox,"North Indian, Chinese, Biryani, Fast Food, Beverages",BTM,1,0,0,0,,0,3.6,1277,150,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese|Biryani|Fast Food|Beverages
Night Hawks,"Biryani, Fast Food, North Indian, Chinese",Hosur Road,1,1,0,0,,0,3.6,3925,150,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Fast Food|North Indian|Chinese
Southside Cafe,"North Indian, Kebab, Chinese, Fast Food, Mughlai",Whitefield,1,1,1,0,3.3,4,,15,1000,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,North Indian|Kebab|Chinese|Fast Food|Mughlai
The Golden Bowl,"North Indian, Mughlai",Thippasandra,1,0,0,0,,0,3.9,102,300,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Indian|Mughlai
Biryani Khazana,Biryani,Thippasandra,1,0,0,0,,0,3.0,269,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani
The Golden Thali,"North Indian, Mughlai",Thippasandra,1,0,0,0,,0,3.3,68,400,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Indian|Mughlai
Biryani Khazana,Biryani,Marathahalli,1,0,0,0,,0,2.6,27,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani
Veg Luv Bowl,"North Indian, Desserts",Marathahalli,1,0,0,1,,0,2.8,20,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Desserts
SG Foods,South Indian,Indiranagar,1,0,0,0,,0,,2,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian
Shahenshah Biryani,"Biryani, Desserts",Marathahalli,1,0,0,0,,0,3.0,74,350,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Desserts
Shalimar,"North Indian, Chinese, Seafood, Shake",Indiranagar,1,1,1,0,4.0,187,3.6,1159,1000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,North Indian|Chinese|Seafood|Shake
Manhatten Burgers,"Burger, Desserts",Marathahalli,1,1,0,0,,0,,0,250,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Desserts
Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",Whitefield,1,1,1,0,3.8,96,4.3,14900,400,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Fast Food|Wraps|Street Food|Desserts|Beverages
McDonald's,"Burger, Beverages, Fast Food, Desserts","Ascendas Park Square, Whitefield",1,1,1,0,3.9,335,4.0,7180,400,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Beverages|Fast Food|Desserts
WOW! Momo,"Momos, Fast Food, Tibetan",Whitefield,1,1,1,0,3.2,7,4.2,1011,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Momos|Fast Food|Tibetan
The Bake Feast,"Bakery, Desserts",Whitefield,1,0,0,0,,0,4.2,2490,100,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
Sri Udupi Park,"North Indian, South Indian, Chinese, Street Food, Ice Cream, Beverages, Shake",Whitefield,1,0,1,0,,1,3.8,1280,250,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,North Indian|South Indian|Chinese|Street Food|Ice Cream|Beverages|Shake
Mayura Bakery & Sweets,"Mithai, Desserts, Street Food, Beverages, Shake",Whitefield,1,1,0,0,,0,4.3,469,50,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Mithai|Desserts|Street Food|Beverages|Shake
Al-Bek,"Mughlai, Arabian, North Indian, Chinese","Varthur Main Road, Whitefield",1,1,0,0,,0,3.9,31200,100,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mughlai|Arabian|North Indian|Chinese
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages","Ascendas Park Square, Whitefield",1,0,1,0,4.0,588,3.5,6143,400,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food|Desserts|Beverages
Pepe's Pizza,"Pizza, Pasta, Burger, Desserts, Beverages","ITPL Main Road, Whitefield",1,1,1,0,3.3,47,4.0,2195,800,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Pizza|Pasta|Burger|Desserts|Beverages
Snack House,"Fast Food, Momos, Street Food","ITPL Main Road, Whitefield",1,0,0,0,,0,4.0,715,150,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Fast Food|Momos|Street Food
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian",Brookefield,1,1,1,0,3.7,55,3.8,446,500,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Pizza|Pasta|Fast Food|Desserts|Beverages|Sandwich|North Indian
Five Star Chicken,"Wraps, Burger, Rolls, Fast Food, Street Food","ITPL Main Road, Whitefield",1,1,1,0,3.0,13,3.5,91,400,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Wraps|Burger|Rolls|Fast Food|Street Food
Kanti Sweets,"Mithai, Street Food, Desserts",Brookefield,1,1,0,0,,0,4.4,14900,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mithai|Street Food|Desserts
Polar Bear,"Ice Cream, Beverages, Shake",Whitefield,1,1,1,0,2.9,53,4.4,2496,350,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Ice Cream|Beverages|Shake
Ovenstory Pizza,"Pizza, Desserts",Whitefield,1,0,0,0,,0,3.7,4335,250,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Desserts
A2B - Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese",Whitefield,1,1,1,0,2.2,532,4.0,9624,800,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,South Indian|Fast Food|Street Food|Ice Cream|Beverages|North Indian|Chinese
MOJO Pizza - 2X Toppings,"Pizza, Fast Food, Desserts, Beverages",Whitefield,1,1,0,0,,0,4.2,4937,250,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food|Desserts|Beverages
Amma's Pastries,Bakery,KR Puram,1,1,0,0,,0,4.2,1216,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery
Mani's Dum Biryani,"Biryani, Kebab",Whitefield,1,1,1,0,4.1,524,4.1,19400,800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Biryani|Kebab
Anand Sweets and Savouries,"Mithai, Street Food, Desserts, Beverages",Whitefield,1,1,1,0,4.0,162,4.1,9931,300,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mithai|Street Food|Desserts|Beverages
Nandhana Palace,"Biryani, Andhra, North Indian, Chinese, South Indian, Beverages",Whitefield,1,0,0,0,,0,3.9,1667,250,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Biryani|Andhra|North Indian|Chinese|South Indian|Beverages
FreshMenu,"Continental, North Indian, Biryani",Whitefield,1,0,0,0,,0,3.6,28200,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Continental|North Indian|Biryani
CakeZone,"Bakery, Desserts",Whitefield,1,1,0,0,,0,4.0,2448,300,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
Lassi Shop,"Beverages, Ice Cream, Desserts, Shake","Varthur Main Road, Whitefield",1,1,0,1,,0,4.0,87,100,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Beverages|Ice Cream|Desserts|Shake
Samosa Party,"Fast Food, Beverages, Burger, Tea",Whitefield,1,1,0,0,,0,4.2,3094,100,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fast Food|Beverages|Burger|Tea
Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Ascendas Park Square, Whitefield",1,1,1,0,2.6,151,3.7,3973,400,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthy Food|Fast Food|Sandwich|Salad|Beverages|Wraps
Kwality Wall’s Frozen Dessert and Ice Cream Shop,Ice Cream,Whitefield,1,0,0,0,,0,4.2,120,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream
Biryani Trip,Biryani,"ITPL Main Road, Whitefield",1,0,0,0,,0,4.1,1972,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages","ITPL Main Road, Whitefield",1,0,0,0,,0,4.1,2652,200,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|South Indian|Desserts|Beverages
NIC - Natural Ice Creams,Ice Cream,Whitefield,1,0,0,1,,0,4.6,3963,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream
Natural Ice Cream,"Ice Cream, Beverages",Whitefield,1,0,0,1,,0,4.2,718,350,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream|Beverages
Beijing Bites,"Chinese, Thai, Seafood, Healthy Food","Inorbit Mall, Whitefield",1,1,1,0,3.1,605,3.9,4906,800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Chinese|Thai|Seafood|Healthy Food
Dindigul Thalappakatti,"Biryani, North Indian, South Indian, Chinese, Beverages",Whitefield,1,1,0,0,,0,3.9,3225,300,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|North Indian|South Indian|Chinese|Beverages
Ludos Pizza,Pizza,"ITPL Main Road, Whitefield",1,0,0,0,,0,3.8,104,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza
Faasos - Wraps & Rolls,"North Indian, Desserts, Wraps, Beverages","ITPL Main Road, Whitefield",1,0,0,0,,0,3.9,4319,200,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Desserts|Wraps|Beverages
EatFit,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages","ITPL Main Road, Whitefield",1,0,0,0,,0,4.0,99600,200,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Mithai|North Indian|Pizza|Burger|Fast Food|Street Food|Desserts|Beverages
WarmOven Cake & Desserts,"Bakery, Desserts",Whitefield,1,0,0,0,,0,3.9,9490,350,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
Chaatimes,"Street Food, Fast Food",KR Puram,1,0,0,0,,0,3.8,1614,100,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Street Food|Fast Food
Ashraya Upachar,"South Indian, North Indian, Chinese",KR Puram,1,1,1,1,3.9,223,4.1,23300,350,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese
Meat and Eat,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food",Whitefield,1,1,1,0,3.2,45,3.6,1312,400,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Burger|Fast Food|Desserts|Beverages|BBQ|Sandwich|Finger Food
Chai Point,"Tea, Fast Food, North Indian, Beverages","Forum Shantiniketan Mall, Whitefield",1,1,0,0,2.7,37,4.1,2596,400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea|Fast Food|North Indian|Beverages
Krispy Kreme,"Desserts, Beverages","Forum Shantiniketan Mall, Whitefield",1,1,1,1,3.5,15,4.5,395,400,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desserts|Beverages
BOX8 - Desi Meals,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",Whitefield,1,1,0,0,,0,4.1,8829,200,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Wraps|Fast Food|Biryani|Desserts|Beverages
Snack House,"Street Food, Momos",Whitefield,1,0,0,0,,0,3.9,1417,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Street Food|Momos
Behrouz Biryani,"Biryani, Mughlai","ITPL Main Road, Whitefield",1,0,0,0,,0,4.1,4001,350,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Biryani|Mughlai
The Belgian Waffle Co.,"Desserts, Ice Cream, Waffle","Varthur Main Road, Whitefield",1,1,0,0,,0,4.2,513,150,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Desserts|Ice Cream|Waffle
Paradise Biryani,"Biryani, North Indian, Kebab",Whitefield,1,1,1,0,4.2,1993,3.7,16500,700,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Biryani|North Indian|Kebab
Mad Over Donuts,"Desserts, Beverages","Forum Shantiniketan Mall, Whitefield",1,1,1,0,3.2,34,4.1,545,250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desserts|Beverages
Sri Alok Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake",Whitefield,1,1,1,1,3.6,105,4.0,9438,450,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Street Food|Biryani|Ice Cream|Beverages|Shake
Wendy's,"Burger, Fast Food",Whitefield,1,0,0,0,,0,3.6,214,200,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burger|Fast Food
Baskin Robbins,"Ice Cream, Desserts, Beverages","ITPL Main Road, Whitefield",1,0,0,0,,0,4.0,58,150,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream|Desserts|Beverages
Yumlane Pizza,"Pizza, Fast Food, Desserts, Beverages","ITPL Main Road, Whitefield",1,0,0,0,,0,3.5,1944,250,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food|Desserts|Beverages
California Burrito,"Mexican, Fast Food, Beverages, Desserts","Ascendas Park Square, Whitefield",1,1,1,0,4.0,358,4.2,3243,500,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican|Fast Food|Beverages|Desserts
Rolls On Wheels,"Rolls, Chinese, North Indian",Whitefield,1,1,1,0,3.0,46,4.0,1472,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rolls|Chinese|North Indian
Shanmukha,"Biryani, Andhra, North Indian, Chinese, Seafood",Brookefield,1,1,1,0,4.0,567,3.8,17000,650,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Biryani|Andhra|North Indian|Chinese|Seafood
New Naidu Hotel,"North Indian, Mughlai",KR Puram,1,1,1,0,3.2,16,3.6,713,450,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Indian|Mughlai
Zomoz - The Momo Company,"Momos, Fast Food",Whitefield,1,0,0,0,,0,4.3,604,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Momos|Fast Food
